x y z density
0.428031 0.308098 0.263870 0.780329
0.190665 0.462773 0.346562 0.949935
0.305942 0.392651 0.301407 0.604966
0.305366 0.419660 0.274974 0.655389
0.325585 0.381185 0.293230 0.597068
0.202995 0.450794 0.346212 0.908220
0.360394 0.257956 0.381649 0.912377
0.322116 0.358741 0.319143 0.575864
0.336116 0.378923 0.284961 0.619101
0.232974 0.374665 0.392362 0.771155
0.284555 0.342467 0.372978 0.663240
0.306855 0.280781 0.412365 0.862207
0.335397 0.397699 0.266904 0.694005
0.416357 0.399745 0.183898 0.978903
0.589009 0.202073 0.208918 0.993266
0.276362 0.423543 0.300095 0.656062
0.168861 0.430690 0.400449 0.984042
0.164129 0.399450 0.436422 0.976117
0.431249 0.374093 0.194657 0.951682
0.362307 0.430307 0.207386 0.898247
0.418271 0.354969 0.226760 0.853982
0.277076 0.312260 0.410663 0.774617
0.451855 0.253602 0.294543 0.894826
0.475193 0.249530 0.275277 0.902796
0.195833 0.442454 0.361713 0.920708
0.363299 0.405747 0.230954 0.822056
0.378068 0.412416 0.209516 0.893519
0.381891 0.293153 0.324956 0.773533
0.358664 0.341552 0.299784 0.637872
0.289942 0.360466 0.349592 0.590128
0.359405 0.285246 0.355348 0.807618
0.362693 0.376219 0.261088 0.721737
0.312295 0.373637 0.314068 0.583434
0.236908 0.439671 0.323421 0.806537
0.240947 0.269473 0.489579 0.950973
0.407292 0.307525 0.285182 0.745904
0.218468 0.404502 0.377030 0.828721
0.399790 0.295433 0.304777 0.768292
0.226488 0.439391 0.334120 0.834610
0.170996 0.375307 0.453698 0.945235
0.303724 0.449136 0.247140 0.772331
0.198367 0.381360 0.420273 0.875300
0.204604 0.572208 0.223188 0.990661
0.233898 0.415483 0.350620 0.791187
0.369258 0.336082 0.294661 0.661559
0.271952 0.415901 0.312147 0.673621
0.376152 0.355585 0.268263 0.709505
0.362700 0.340638 0.296663 0.646462
0.348790 0.345169 0.306041 0.615283
0.386712 0.407819 0.205469 0.907716
0.471513 0.320004 0.208484 0.927886
0.311200 0.466694 0.222106 0.853474
0.369530 0.418825 0.211645 0.885588
0.315143 0.370363 0.314493 0.581191
0.470427 0.276671 0.252902 0.848532
0.286562 0.370221 0.343217 0.591947
0.337580 0.388572 0.273847 0.668206
0.291188 0.396419 0.312393 0.609416
0.304334 0.375645 0.320020 0.585095
0.369381 0.300514 0.330105 0.749169
0.299102 0.397145 0.303753 0.610633
0.237389 0.413853 0.348758 0.779481
